,title,address,website,phone_number
142,Starbucks Coffee Co (UK) Ltd,"10 Russell St, London, WC2B 5HZ",http://www.starbucks.co.uk,020 7836 6231
143,Benugo Cafe,"63 Long Acre, London, WC2E 9JN",http://www.benugo.com,020 7836 9773
144,Soho Coffee Company,"138-139 Strand, LONDON, WC2R 1QA",http://www.sohocoffee.co.uk,020 3358 6774
145,Caffe Nero,"97-99 Charing Cross Rd, London, WC2H 0DP",http://www.caffenero.com,020 7287 0971
146,Notes,"36 Wellington Street, Covent Garden, LONDON, WC2E 7BD",http://www.notes-uk.squarespace.com/,020 7240 7899
147,Caffe Nero,"2 Lancaster Place, London, WC2E 7EA",http://www.caffenero.com,020 7836 6346
148,Ocraquelin Patisserie,"42 Tavistock Street, London, WC2E 7PB",,07401 983475
149,Yi Fang,"13 Moor Street, London, W1D 5NH",http://www.yifangtea.co.uk,020 7078 4214
150,Gelatorino Ltd,"2 Russell St, London, WC2B 5JD",http://www.gelatorino.com,020 7240 0746
151,St James Cafe,"41 Pall Mall, London, SW1Y 5JG",,020 7930 1420
152,Mont Ruby Tea,"100 Shaftesbury Avenue, London, W1D 5EE",,020 7437 0439
153,Il Panino,"21 Newton St, London, WC2B 5EL",,020 7405 3825
154,Double Shot,"38A Tavistock Street, Covent Garden, LONDON, WC2E 7PB",,020 7240 9742
155,Pret a Manger,"35 Frith St, London, W1D 5LQ",https://locations.pret.co.uk/london/35-frith-street,020 7287 6729
156,Cafe W,"203-205 Piccadilly, London, W1J 9HD",https://www.waterstones.com,020 7851 2400
157,Tsujiri,"47 Rupert St, London, W1D 7PD",http://www.tsujiri.co.uk,07445 521929
158,Joe & The Juice,"46 Dean Street, Soho, LONDON, W1D 4QD",http://www.joejuice.com/,
159,Caffe Nero,"Customer Services, 9-15, Neal St, London, WC2H 9PW",http://www.caffenero.co.uk,020 7520 5150
160,Share Tea,"65 Shaftesbury Avenue, Chinatown, LONDON, W1D 6LH",,020 7734 9097
161,Machi Machi,"59 Shaftesbury Avenue, Chinatown, LONDON, W1D 6LF",,
162,26 Grains,"1 Neal's Yard, Covent Garden, LONDON, WC2H 9DP",http://www.26grains.com,
163,Jacob The Angel,"16A Neal's Yard, Covent Garden, LONDON, WC2H 9DP",http://www.jacobtheangel.co.uk,
164,Yolo,"1 Tower Street, Covent Garden, LONDON, WC2H 9NP",,07912 349609
165,Pride Kitchen,"2B Neal's Yard, Covent Garden, LONDON, WC2H 9DP",http://www.pride.kitchen,020 7836 2779
166,Cakes & Bubbles,"68a Regent Street, London, W1B 5RJ",http://hotelcaferoyal.com,020 7406 3310
167,My Cup of Tea,"Unit 5 Denman Place, London, W1D 7HH",http://www.mycupoftea.co.uk,020 7287 2255
168,Pret a Manger,"135 Strand, London, WC2R 1HH",https://www.pret.co.uk/en-GB,020 7932 5271
169,The Breakfast Club,"33 D'Arblay St, London, W1F 8EU",http://www.thebreakfastclubcafes.com,020 7434 2571
170,Costa Coffee,"39 Shelton St, Camden, London, WC2H 9HJ",http://www.costa.co.uk,020 7836 5951
171,Pure,"151 Shaftesbury Avenue, London, WC2H 8AL",https://www.pure.co.uk/shops/shaftesbury-ave/,020 7240 1555
172,Bibi's Kitchen,"5 Smiths Court, Haymarket, LONDON, W1D 7DW",,
173,The River Terrace,"150 Strand, Charing Cross, LONDON, WC2R 0RN",http://www.somersethouse.org.uk,020 7845 4646
174,Damson & Company,"21 Brewer Street, Soho, LONDON, W1F 0RL",,
175,The River Terrace,"150 Strand, Charing Cross, LONDON, WC2R 1JA",http://www.somersethouse.org.uk,020 7845 4646
176,St James Kitchen,"36 St James's St, London, E17 7PF",,020 3583 7552
